type,total_gas_used,total_value_txn_usd,total_effective_gas_price,total_fee_usd,total_call_count
call,18093735,1511453.6612135079,42941649317888.0,2484.027232646942,570
call_tree,83524740,877613.2515086245,33991183126528.0,10069.701537966728,5348
create_tree,3157354,0.0,44999999488.0,256.7615966796875,5
