,type,total_gas_used,total_value_txn_usd,total_effective_gas_price,total_fee_usd,total_call_count
0,call_tree,5325381,185691.75562286377,3507312689152.0,898.683611869812,436
1,call,1883706,19746.344715595245,5637491187712.0,322.49946689605713,61
